timestamp,user_input,prediction,bot_reply
2025-07-07 23:42:09,i am sad today,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 23:48:35,i am sad today,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-07 23:48:47,kill me,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-07 23:48:55,i wanna die,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-08 00:06:39,i am sad today,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:06:49,kill me,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-08 00:06:56,happy me,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:07:02,sad me,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:23:51,i am sad today,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:27:57,i am sad today,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:29:06,i feel hopeless,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-08 00:29:25,i am sad today,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:30:03,i’m depressed,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:30:32,nothing is going right,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:30:56,i am feeling very low today,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:31:14,everything feels meaningless,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-08 00:33:14,bye,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:34:13,i am sad today,Not Suicidal,It sounds like you're going through something. 💙 Please know you're not alone.
2025-07-08 00:34:34,nothing going good in life,Not Suicidal,I'm sorry you're feeling down. I'm here to support you. 💙 You're not alone.
2025-07-08 00:34:52,i wanna die,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-08 00:34:58,kill me,Suicidal,I'm really sorry you're feeling this way. You're not alone. 💙 Please consider talking to someone or call 9152987821 (helpline).
2025-07-08 00:35:05,dance with me,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:39:43,clear,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:41:03,i am sad today,Not Suicidal,I'm sorry you're feeling down. I'm here to support you. 💙 You're not alone.
2025-07-08 00:41:18,nothing in life going good,Not Suicidal,I'm sorry you're feeling down. I'm here to support you. 💙 You're not alone.
2025-07-08 00:41:31,ok bye,Not Suicidal,That’s great to hear! 😊 I'm always here to chat.
2025-07-08 00:41:43,killing anyone is bad,Not Suicidal,I'm sorry you're feeling down. I'm here to support you. 💙 You're not alone.
